dateissue,Value
13990623,1578190.1
13990624,1607587.1
13990625,1664592.8
13990626,1704108.5
13990629,1699494
13990630,1652235.7
13990631,1595160.1
13990701,1581180.1
13990702,1611582.5
13990705,1615531.2
13990706,1570888.3
13990707,1515930
13990708,1492939.8
13990709,1503426.8
13990712,1546154.7
13990713,1522980.9
13990714,1490173.1
13990715,1514698.2
13990716,1540700
13990719,1541822.8
13990720,1597125.4
13990721,1579507.3
13990722,1579675.7
13990723,1561416.1
13990727,1514272.5
13990728,1462283.2
13990729,1419305.3
13990730,1412354.7
13990803,1374057.4
13990805,1336587
13990806,1302028.5
13990807,1288330.5
13990810,1305898.7
13990811,1279862.7
13990812,1264477.6
13990814,1290571.4
13990817,1262887.1
13990818,1240523.8
13990819,1215163.9
13990820,1211941.2
13990821,1221074.8
13990824,1247649.2
13990825,1257356.9
13990826,1273847
13990827,1296947.1
13990828,1345301.4
13990901,1366535.2
13990902,1358847.5
13990903,1375541.3
13990904,1357108.6
13990905,1367248.8
13990908,1390772.8
13990909,1427278.1
13990910,1465975.3
13990911,1473667.3
13990912,1470980.1
13990915,1490676.8
13990916,1523108.5
13990917,1512891.9
13990918,1507498.7
13990919,1506217.3
13990922,1527451.8
13990923,1515759.4
13990924,1484158.9
13990925,1428324.5
13990926,1413360.4
13990929,1444926
13990930,1439124
13991001,1436392.9
13991002,1444968.9
13991003,1447915.3
13991006,1423570.2
13991007,1419012.8
13991008,1437212.3
13991009,1411859
13991010,1397797.2
13991013,1354147.1
13991014,1355351.2
13991015,1374483.2
13991016,1350233.2
13991017,1310755.8
13991020,1285892.4
13991021,1306620.7
13991022,1301325.6
13991023,1260722.5
13991024,1229836.5
13991027,1186711.2
13991029,1150225
13991030,1150718
13991101,1183978.2
13991104,1222070.6
13991105,1234557.5
13991106,1235783.1
13991107,1215033.1
13991108,1207698.3
13991111,1247152.7
13991112,1251041.7
13991113,1233667.6
13991114,1205467.1
13991115,1173010.7
13991118,1135345.5
13991119,1170532.9
13991120,1192744.4
13991121,1214416.1
13991125,1262253.7
13991126,1264368.7
13991127,1257286.2
13991128,1245882.9
13991129,1238357.4
13991202,1232716.1
13991203,1222614.3
13991204,1214482.7
13991205,1211642.8
13991206,1205832.4
13991209,1194009.9
13991210,1185603.7
13991211,1181641.2
13991212,1186277.3
13991213,1177916.9
13991216,1169724.3
13991217,1175595.8
13991218,1199888.4
13991219,1210146.7
13991220,1206878
13991223,1229377.2
13991224,1245186
13991225,1254213
13991226,1290474.5
13991227,1307707.1
14000107,1309561.6
14000108,1306887.8
14000110,1303193.7
14000111,1294521.6
14000114,1282948.7
14000115,1269478.7
14000116,1262735.3
14000117,1260785.7
14000118,1249910.4
14000121,1240696.7
14000122,1230876.5
14000123,1226158.2
14000124,1244556.7
14000125,1243358.7
14000128,1233781.8
14000129,1224795.3
14000130,1216874.3
14000131,1219589.9
14000201,1207047
14000204,1199341.7
14000205,1187843
14000206,1186956.5
14000207,1202630.4
14000208,1207850.4
14000211,1194338.6
14000212,1180663.6
14000213,1167045.1
14000215,1172262.4
14000218,1167462.4
14000219,1151896.4
14000220,1157682.9
14000221,1179527.1
14000222,1184000.3
14000225,1189595.7
14000226,1188811.1
14000227,1174659.7
14000228,1173514.3
14000229,1154844.7
14000301,1128218.2
14000302,1107915.1
14000303,1095697.7
14000304,1105454.2
14000305,1109348.8
14000308,1139534.9
14000309,1156933.8
14000310,1145930
14000311,1140475.4
14000312,1148642.7
14000317,1157205.4
14000318,1160665.6
14000319,1151846.3
14000322,1144955
14000323,1141225.9
14000324,1150203.6
14000325,1150129.2
14000326,1147675
14000329,1162032
14000330,1163757
14000331,1168664.7
14000401,1186921.5
14000402,1213054.6
14000405,1233738.1
14000406,1238487.2
14000407,1243812.3
14000408,1248516.5
14000409,1256978.2
14000412,1246111.9
14000413,1243719.1
14000414,1254561.8
14000415,1281187
14000416,1282036.1
14000419,1270744.3
14000420,1285256.4
14000421,1304336.3
14000422,1303890.1
14000423,1305495.5
14000426,1311241
14000427,1302857.2
14000428,1311306
14000504,1323354.6
14000505,1314909.1
14000506,1316504.6
14000509,1351500.1
14000510,1360246.6
14000511,1357895.2
14000512,1375647.2
14000513,1406040.3
14000516,1407762.2
14000517,1417861.9
14000518,1433201.7
14000519,1453811.7
14000520,1484627.3
14000523,1480803.6
14000524,1499923.4
14000531,1515548.6
14000601,1515923.5
14000602,1543448.3
14000603,1550208.4
14000606,1575762
14000607,1573406.5
14000608,1523969.6
14000609,1496150.8
14000610,1520627.1
14000613,1541051.8
14000614,1537192.9
14000615,1538484.5
14000616,1523059.9
14000617,1526008.3
14000620,1530461.8
14000621,1489983.3
14000622,1475224.9
14000623,1496962.7
14000624,1488212.7
14000627,1450225.4
14000628,1420479
14000629,1427773.2
14000630,1391236.1
14000631,1386451
14000703,1422118.5
14000704,1424732.3
14000706,1425447.4
